channel_name,channel_label,username,username_link,post_text,post_link,date,number_of_views,extracted_urls
azerbaijaninthelens,Azerbaijan,,,"Ekspert qruppu sürücülük vəsiqələrinin verilməsi qaydalarına dəyişiklik edilməsini təklif edir. Yeni sürücülük vəsiqəsinin sahibləri üçün sınaq müddətinin verilməsi təklif edilir. Bu müddət ərzində sürücü ciddi qayda pozuntularına yol verərsə, onun sürücülük vəsiqəsi məhdudlaşdırılacaq. Onları qəbul etmək üçün yenidən müvafiq prosedurlardan keçməli olacaq.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,"Mayın 17-dən 21-dək paytaxtın Milli Gimnastika Arenasında ""Shine like a star"" (Ulduz kimi parla) devizi altında bədii gimnastika üzrə 39-cu Avropa çempionatı keçiriləcək. Burada 38 ölkədən gimnastlar iştirak edəcək. İdmançılar fərdi proqramda və qrup məşqləri proqramında çıxış edəcəklər. Fərdi proqramda böyüklər, qrup hərəkətlərində kiçiklər komandası 18, böyüklər komandası isə 10 nömrə altında çıxış edəcəklər.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,Bu gün biz ölkəmizin ümummilli liderinin anadan olmasının yüz illiyini qeyd edirik. Doğma torpağının inkişafına və qonşu dövlətlərlə dostluq əlaqələrinin möhkəmlənməsinə onun verdiyi töhfələrdən videoda danışırıq.,,,0,[]
azerbaijaninthelens,Azerbaijan,,,"2023-cü il martın 1-nə Azərbaycan əhalisinin sayı 10 milyon 135 min 373 nəfər olub. Ölkənin 1 kvadrat kilometrinə 117 nəfər düşür. Əhalinin 54,6 faizini şəhər, 45,4 faizini isə kənd sakinləri təşkil edir. Ölkədə kişilər - 49,8 faizi, qadınlar isə 50,2 faizdir. Statistikaya görə, hər 1000 kişiyə orta hesabla 1010 qadın düşür.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,"Azərbaycanın İcbari Sığorta Bürosu bildirib ki, bu ilin sonuna kimi bütün ölkə üzrə adi kağız sığorta polislərindən imtina etmək qərara alınıb. Eyni zamanda, bu, yaxın iki ayda daşınmaz əmlak sənədlərinə təsir edəcək. https://yerlimedia.org/kagiz-sigorta-polisl%c9%99ri-kecmisd%c9%99-qaldi/",,,0,['https://yerlimedia.org/kagiz-sigorta-polisl%c9%99ri-kecmisd%c9%99-qaldi/']
azerbaijaninthelens,Azerbaijan,,,"Dövlət Statistika Komitəsinin məlumatına görə, yanvar-fevral aylarında 218 min Azərbaycan vətəndaşı xarici ölkələrə səfər edib, bu da 2022-ci ilin müvafiq dövrü ilə müqayisədə 18,3% çoxdur. Gürcüstana səfərlərin sayı ən çox artıb – 1,5 dəfə. Həmçinin 2023-cü ilin ilk iki ayında Azərbaycana dünyanın 148 ölkəsindən 232,5 min nəfər əcnəbi və vətəndaşlığı olmayan şəxs gəlib, bu da ötən illə müqayisədə 1,5 dəfə çoxdur.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,Azərbaycan ekspertinin Rusiya nümayəndələri ilə söhbətindən növbəti epizodu dərc edirik. Yeni fraqmentdə qonaq xaricdən tətbiq edilən neolibertarian iqtisadi nəzəriyyənin niyə ölkələrimizin qarşısında duran problemləri effektiv şəkildə həll etməyə imkan vermədiyini izah edir.,,,0,[]
azerbaijaninthelens,Azerbaijan,,,Azərbaycan eksperti ilə Rusiya qonaqlarının söhbətindən ən parlaq hissələri dərc etməyə davam edirik. Yeni epizodda iştirakçılardan biri ölkələrimizin birgə layihələrinin nəyə istiqamətləndirildiyini izah edir.,,,0,[]
azerbaijaninthelens,Azerbaijan,,,"İlin əvvəlindən ölkədə bağlanmış əmək müqavilələrinin sayı artaraq 1 milyon 755 min 802-yə çatıb. Azərbaycan Əmək və Əhalinin Sosial Müdafiəsi Nazirliyinin məlumatına görə, 2023-cü ilin ilk aylarında 9493 müqavilə qeydə alınıb. Agentlik bu artımın 0,5% olduğunu qeyd edir və xatırladır ki, son 5 ildə ümumi artım 34% təşkil edib.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,"Mayın 4-də Bakıda Beynəlxalq Muğam Mərkəzinin və Azərbaycan Televiziya və Radio Verilişləri QSC-nin solisti, Əməkdar Artist Bəyimxanım Vəliyevanın ""Sən elə bir zirvəsən"" adlı solo konserti olacaq. Gecədə tarist Rövşən Qurbanovun dirijorluğu ilə “Buta” instrumental ansamblının müşayiəti ilə muğam bəstələri və xalq mahnıları ifa olunacaq.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,"Azərbaycanlı ekspertin söhbətindən ən maraqlı tezisləri dərc etməyə davam edirik. Yeni epizodda qonaqlar, Avropa variantının dalana apardığı zaman Azərbaycan üçün Avrasiya inteqrasiya variantının nə üçün əlverişli olduğunu izah edir.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,"Azərbaycan Respublikası Əmək və Əhalinin Sosial Müdafiəsi Nazirliyi 2023-cü ilin birinci rübündə sosial ödənişlərin həcmi barədə məlumat yayıb. Bildirilir ki, Dövlət Sosial Müdafiə Fondu tərəfindən 426 min nəfərə 244 milyon manat müavinət, 368 min nəfərə isə 159 milyon manat məbləğində aylıq prezident təqaüdü verilib.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,"Mayın 12-də Bakıda Muzey Mərkəzində 67 yaşlı Əbülfəz Fərəcoğlunun ""Qaçış nöqtəsi"" adlı genişmiqyaslı fərdi sərgisi açılır. Ekspozisiya çərçivəsində 16 qrafik və 91 rəsm əsəri tamaşaçılara təqdim olunacaq. Təşkilatçılar rəssamın əsərlərində ənənə və müasirliyi birləşdirdiyini qeyd edirlər.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,"2023-cü ilin yanvar-mart aylarında Azərbaycanın dövlət büdcəsinə vergi daxilolmaları 4 milyard 899 milyon manat təşkil edib ki, bu da 2022-ci ilin müvafiq dövrü ilə müqayisədə 74,8 faiz çoxdur. İqtisadiyyat naziri Mikayıl Cabbarov da bildirib ki, bu dövrdə qeyri-neft-qaz sektorundan daxilolmalar 16,4 faiz artaraq 2 milyard 618 milyon manat təşkil edib.",,,0,[]
azerbaijaninthelens,Azerbaijan,,,"Mayın 13-də Bakıda Səməd Vurğun adına Azərbaycan Dövlət Akademik Rus Dram Teatrında Azərbaycanın xalq yazıçısı Elçinin pyesi əsasında hazırlanmış ""Otelloya xəyanət"" tamaşasının premyerası olacaq. Burada Azərbaycanın xalq artistləri Lyudmila Duxovnaya və Məbud Məhərrəmov, əməkdar artistlər Salman Bayramov, Natavan Hacıyeva, İnna İmranova və digər aktyorlar iştirak edəcəklər.",,,0,[]
realtvxeber,Azerbaijan,,,Azərbaycan təmsilçisinin “Avroviziya 2024”də ifa edəcəyi mahnı məlum olub,,,0,[]
realtvxeber,Azerbaijan,,,Prezident yeni alınmış müasir təcili tibbi yardım avtomobilləri ilə tanış olub,,,0,[]
realtvxeber,Azerbaijan,,,Bayden Azərbaycan xalqını və Prezident İlham Əliyevi Novruz bayramı münasibətilə təbrik edib.,,,0,[]
realtvxeber,Azerbaijan,,,“Porsche”nin dövlət nömrə nişanını oğurlayan şəxslər saxlanılıb,,,0,['https://www.realtv.az/news/az/159158/porschenin-dovlet-nomre-nishanini-ogurlayan-shexsler-saxlanilib-foto-video']
realtvxeber,Azerbaijan,,,İlham Əliyevin Gürcüstan Respublikasının Baş nazir İrakli Kobaxidze ilə təkbətək görüşü başlayıb.,,,0,[]
realtvxeber,Azerbaijan,,,Bakıda Azərbaycan və Gürcüstanın Baş nazirlərinin görüşü olub,,,0,[]
realtvxeber,Azerbaijan,,,Azərbaycan Prezidenti və Gürcüstan Baş naziri mətbuata bəyanatlarla çıxış edirlər,,,0,[]
realtvxeber,Azerbaijan,,,İlham Əliyev: Gürcüstan və Azərbaycan iki müstəqil dövlət kimi daim bir-birinin yanındadır,,,0,[]
realtvxeber,Azerbaijan,,,Prezident: Bu gün Azərbaycan və Gürcüstan Avrasiya üçün də önəmli ölkələrə çevrilib,,,0,[]
realtvxeber,Azerbaijan,,,Gürcüstanın Baş naziri: Azərbaycanla bizi tarixi dostluq bağları birləşdirir,,,0,[]
realtvxeber,Azerbaijan,,,❗️Prezident İlham Əliyevin İrakli Kobaxidze ilə nahar əsnasında geniş tərkibdə görüşü başlayıb,,,0,[]
realtvxeber,Azerbaijan,,,DİN: Zaqatala rayonunda 18 yaşlı gənc partlayıcı maddənin partlaması nəticəsində ölüb.,,,0,[]
realtvxeber,Azerbaijan,,,Vladimir Putin prezident seçkilərində qalib gəlib:,,,0,[]
realtvxeber,Azerbaijan,,,Prezident İlham Əliyev Xankəndi şəhərində Novruz tonqalını alovlandırıbDövlətimizin başçısı Azərbaycan xalqını bayram münasibətilə təbrik edib,,,0,[]
realtvxeber,Azerbaijan,,,"Bu gün Novruz bayramının sonuncu - İlaxır çərşənbəsi (Torpaq çərşənbəsi) qeyd olunurİlaxır çərşənbədə bütün günü davam edən mərasim axşam şənlikləri ilə daha da gurlaşır. Üzərlik yandırılır, tonqallar alovlanır, tonqallar üstündən tullanılır, bacalardan torbalar sallanır, qurşaq atılır, qulaq falları qurulur.Axırıncı çərşənbədə yaşından və cinsindən asılı olmayaraq hamı tonqalın üstündən tullanmalıdır, tonqalı söndürmək olmaz, o özü sönəndən sonra cavan oğlan və qızlar həmin tonqalın külünü yığıb, evdən kənar bir yerə, çölə atmalıdır. Bu, o deməkdir ki, tonqalın üstündən tullanan bütün ailə üzvlərinin bədbəxtçiliyi atılan küllə birlikdə ailədən uzaqlaşdırılır. Axırıncı çərşənbə axşamı yalnız yaxşı sözlər danışılması adət hesab olunur.",,,0,[]
realtvxeber,Azerbaijan,,,Bu gün Azərbaycan xalqı ən sevimli bayramlarından biri olan Novruz bayramını qeyd edir.,,,0,[]
realtvxeber,Azerbaijan,,,Azərbaycan və Qazaxıstan prezidentləri Füzulidə Kurmanqazı adına Uşaq Yaradıcılıq Mərkəzinin açılışında iştirak ediblər.,,,0,[]
realtvxeber,Azerbaijan,,,Paşinyan: Azərbaycanla Ermənistan arasında sərhədin delimitasiyası Tavuş vilayətindən başlayacaq.,,,0,[]
realtvxeber,Azerbaijan,,,"DTX sosial şəbəkələrdə yayılan silahlı hücum ilə bağlı açıqlama yaydıQeyd olunub ki, reallıqdan uzaq olan analoji aksiyaların daha əvvəl saxta adlardan istifadə edilməklə sosial şəbəkələr vasitəsilə bəzi xarici ölkələrdəki təhsil müəssisələri ilə əlaqədar həyata keçirildiyi məlumdur.Əməliyyat-texniki tədbirlər zamanı sözügedən sosial şəbəkə səhifəsinin xaricdən idarə olunduğu öz təsdiqini tapmış, xarici tərəfdaşlarla həyata keçirilmiş birgə təxirəsalınmaz tədbirlərlə məlum sosial şəbəkə kanalını yaratmış ölkə ərazisində hər hansı təhdid doğurmaq imkanında olmayan şəxslər və onların Azərbaycan Respublikası ilə heç bir əlaqəsinin olmadığı müəyyən edilmişdir. Bu istiqamətdə zəruri tədbirlər həyata keçirilir.Həmçinin eyniadlı “Telegram” səhifəsində yerləşdirilmiş, Bakı şəhəri Nizami rayonu 229 saylı tam orta məktəbə aid fotoşəkli həmin məktəbin azyaşlı şagirdinin 12.03.2024-cü il tarixində çəkdiyi və özü tərəfindən eyni adda və məzmunda yaradılan kanala yerləşdirildiyi müəyyən edilmiş, həmin şəxs qanuna müvafiq qaydada istintaqa cəlb edilmişdir.Hazırda dünyada çoxsaylı sosial şəbəkələrin fəaliyyət göstərdiyi, onların texniki imkanlarından hər cür dezinformasiya məqsədləri üçün istifadə mümkünlüyünün məlum olduğu bir vaxtda ölkə ictimaiyyətini əhali arasında narahatlıq yaradılması məqsədilə paylaşılan bu kimi qeyri-ciddi məlumatlara inanmamağa, belə aşkar əsassız məlumatları geniş auditoriyaya yayaraq təşviş yaradanları qınamağa çağırır, bu qəbildən olan informasiyaların aidiyyəti orqanlar ilə birgə daim ətraflı yoxlanıldığını bildiririk.© t.me/realtvxeber",,,0,['http://t.me/realtvxeber']
realtvxeber,Azerbaijan,,,"Martın 13-də saat 3 radələrində işğaldan azad olunan əraziyə ezam olunan polis əməkdaşları xidməti silahdan ehtiyatsız davranılması nəticəsində həlak olublar.Bu barədə DİN-in mətbuat xidmətindən bildirilib.Polis nəfərinin xidməti silahdan ehtiyatsız davranması nəticəsində açılan 1 atəşdən polis zabiti, 1982-ci il təvəllüdlü Ramiz İsmayılov, polis nəfəri Abid Mustafazadə xəsarət alıblar. Göstərilən tibbi müdaxilələrə baxmayaraq, onlardan biri hadisə yerində, digəri xəstəxanaya aparılarkən həyatını itirib",,,0,[]
realtvxeber,Azerbaijan,,,"Bakıda, Gülüstan sarayında Azərbaycan Respublikasının Prezidenti İlham Əliyevin himayəsi altında və Nizami Gəncəvi Beynəlxalq Mərkəzinin təşkilatçılığı ilə “Parçalanmış dünyanın bərpası” mövzusunda XI Qlobal Bakı Forumu keçirilir. Prezident tədbirdə iştirak edir.",,,0,[]
realtvxeber,Azerbaijan,,,Bakıda Xaqani bağının yaxınlığındakı bəzi küçələrə avtomobillə giriş məhdudlaşdırılacaqƏtraflı: https://www.realtv.az/news/az/158967/bakida-xaqani-baginin-yaxinligindaki-bezi-kuchelere-avtomobille-girish-mehdudlashdirilacaq,,,0,['https://www.realtv.az/news/az/158967/bakida-xaqani-baginin-yaxinligindaki-bezi-kuchelere-avtomobille-girish-mehdudlashdirilacaq']
realtvxeber,Azerbaijan,,,Azərbaycan Prezidenti: İndi biz Ermənistanla sülhə heç vaxt görünmədiyi qədər yaxınıq,,,0,[]
realtvxeber,Azerbaijan,,,İlham Əliyev Albaniya Prezidenti Bayram Beqay ilə görüşüb.,,,0,[]
realtvxeber,Azerbaijan,,,"“Bütün tarixi faktlar tam aydın idi və biz ədaləti, beynəlxalq hüququ özümüz bərpa etdik. Heç kəs bizə kömək etmədi. Biz bunu özümüz etdik və göstərdik ki, güclü siyasi iradəmiz, həmçinin potensialımız var. Çünki güclü hərbi imkanlar və xalqın birliyi olmadan biz uğur qazana bilməzdik” - Prezident.",,,0,[]
